citizen_id;contact_id;last_contact_time_ms
210591;402970;63909874485317
210591;422105;63909816388347
210591;887777;63909872333671
210591;1016792;63909860131683
210914;55918;63909806866541
210914;169002;63909781839653
210914;487856;63909801391108
210914;710629;63909798345764
210914;747970;63909797735517
210914;874018;63909811139903
216687;159253;63909868985196
216687;171591;63909902588546
216687;617028;63909909715147
222759;100203;63909850932948
222759;142729;63909850932948
222759;430436;63909850932948
222759;550585;63909946430493
222759;734703;63909850932948
224585;159253;63909869285851
224585;438603;63909906584441
224585;558118;63909809617472
224585;963506;63909910018829
235496;31700;63909846047899
235496;160988;63909878151722
235496;208050;63909809317340
235496;398480;63909851234531
235496;558118;63909851234531
235496;671466;63909805951416
235496;755299;63909809918554
235496;826092;63909808707166
235496;842596;63909798345764
247209;417651;63909811755419
247209;515194;63909846966440
247209;806405;63909797735517
247209;1038983;63909811755419
248638;11554;63909794386838
248638;226511;63909797735517
248638;523804;63909795908569
248638;536601;63909795908569
248638;593461;63909786701914
248638;660651;63909949780914
248638;835382;63909973869128
250262;56977;63909968982460
250262;359271;63909964096532
250262;463574;63909979061189
250262;512267;63909855511653
250262;847043;63909982107749
264037;868836;63909984578838
264037;902853;63909984578838
265973;257954;63909984578838
265973;1042060;63909983712114
269099;177132;63909984578838
269099;391843;63909854290299
275217;1047612;63909917541018
284473;80715;63909807177459
284473;294795;63909852767253
284473;438159;63909857944421
284473;626879;63909861350007
284473;845168;63909856120644
297216;269433;63909984578838
307344;159253;63909868985196
307344;438603;63909906280739
307344;464065;63909811755419
307344;963506;63909914409211
307344;1023411;63909811755419
309216;24209;63909905962384
309216;311665;63909856732805
309216;360919;63909975696614
309216;494843;63909949163534
309216;558118;63909860131683
309216;757857;63909905346283
309216;793701;63909916293336
309216;801867;63909917237914
314516;417651;63909853375989
314516;442368;63909853375989
314516;508134;63909797433411
314516;568061;63909793469009
314516;975698;63909853375989
314516;1038983;63909853375989
314516;1041482;63909790121581
314516;1042060;63909853375989
317408;17938;63909951605867
317408;565001;63909854594941
317408;589249;63909854594941
317408;621615;63909854594941
317408;730567;63909984578838
319766;326067;63909853678675
319766;482774;63909861656932
319766;719774;63909818552001
321080;913977;63909939713562
325794;369691;63909853678675
325794;371122;63909853075687
325794;559506;63909853678675
325794;793701;63909853678675
329810;338288;63909826933026
329810;1001152;63909976002696
336879;80711;63909881813173
336879;163938;63909961360050
336879;434208;63909856120644
336879;715727;63909958930672
343162;85516;63909791640601
343162;899011;63909984578838
343162;913811;63909792246103
343162;1021520;63909791942137
346835;396061;63909949465601
346835;578544;63909887909099
346835;715727;63909932092276
349194;437063;63909984578838
362256;208050;63909917237914
362256;271290;63909912513221
362256;559506;63909886688669
362256;900396;63909895514232
362256;929860;63909881510991
367837;15258;63909882421040
367837;191670;63909791942137
367837;377416;63909794691849
367837;589220;63909882421040
367837;1018164;63909882421040
370976;39900;63909900705717
378187;479084;63909966232235
378187;841099;63909895819791
378187;853691;63909854594941
378187;873620;63909950390214
379686;268791;63909974481512
379686;358314;63909950390214
379686;646725;63909874175440
379686;790226;63909918164263
379686;825852;63909918164263
386374;296455;63909861964048
386374;454411;63909979669042
386374;459707;63909821970757
389111;592755;63909887605433
389111;1023411;63909844515915
396861;143502;63909850624461
413632;481714;63909942766963
413983;159253;63909855818219
413983;432025;63909891245424
413983;589876;63909890941337
419094;260519;63909826933026
419094;335763;63909834365447
419094;620404;63909837135105
419094;636318;63909831886576
437119;86110;63909801088731
437119;171591;63909876614216
437119;311665;63909853375989
437119;438603;63909856428285
437119;490760;63909790121581
437119;583092;63909804428321
437119;698389;63909788596978
437119;725402;63909951914645
437119;857850;63909895819791
437119;1022573;63909898571622
438341;256032;63909952826270
438341;437063;63909818863632
438341;440804;63909920957549
438341;656265;63909804428321
438341;748521;63909858554887
448242;398480;63909902588546
458598;110307;63909857034228
458598;360919;63909950996176
458598;479084;63909965924579
458598;690454;63909857034228
458598;944171;63909866540209
464578;51751;63909846966440
464578;79132;63909984578838
464578;310428;63909788596978
464578;711094;63909952525437
476569;121515;63909880284945
476569;129508;63909888523179
476569;354452;63909887304536
476569;402970;63909874175440
476569;548281;63909883328867
476569;550585;63909952826270
476569;744975;63909883328867
490612;100203;63909970202784
490612;142729;63909858244452
490612;430436;63909984578838
490612;550585;63909859515342
490612;550981;63909873867104
490612;734703;63909984578838
508134;217417;63909973255217
508134;432527;63909978757817
508134;440804;63909979061189
510290;4099;63909980880637
510946;122205;63909894600091
510946;218296;63909866540209
510946;265874;63909852154730
510946;947966;63909821970757
510946;1045690;63909940624069
510946;1046509;63909802909238
513045;276624;63909812057863
521700;17938;63909951914645
521700;294079;63909879672337
521700;565001;63909859825673
521700;589249;63909857641176
521700;621615;63909869592234
521700;730567;63909984578838
524215;338238;63909877844219
524215;467001;63909825065400
524215;512144;63909827240837
524215;888778;63909874175440
524215;974840;63909894600091
524273;369691;63909984578838
524273;371122;63909853375989
524273;559506;63909858862590
524273;793701;63909858862590
524273;1017420;63909984578838
525035;4704;63909859825673
525035;205378;63909895819791
525035;279478;63909852460534
525035;1047575;63909923778042
532317;847043;63909982107749
533683;828;63909872032392
533683;144807;63909848492143
533683;430223;63909876007346
533683;715727;63909876007346
533683;777753;63909954355592
533683;820703;63909941850660
542311;79132;63909984578838
542311;711094;63909958930672
544539;343440;63909859210135
544539;786778;63909859210135
544539;820703;63909957097523
544539;902083;63909888824135
544539;996609;63909821352024
549003;115856;63909853075687
549003;146067;63909853075687
549003;217417;63909877844219
549003;257954;63909984578838
549003;333178;63909866540209
549003;387985;63909866540209
549003;622108;63909853075687
549003;777753;63909943070412
549003;820703;63909941850660
549003;835382;63909866540209
549003;864757;63909928726148
549003;892996;63909866540209
549003;924927;63909866540209
549003;932936;63909853075687
549003;1042060;63909983712114
560495;300216;63909982107749
561652;37198;63909954664593
561652;106757;63909927501102
561652;118910;63909927501102
561652;778337;63909965623883
561652;997221;63909927501102
563596;67929;63909872032392
563596;188040;63909876924819
563596;777753;63909955272162
567864;780937;63909984578838
568061;115856;63909984578838
568061;146067;63909984578838
568061;305489;63909976310281
575088;924237;63909984578838
577580;417651;63909860131683
577580;442368;63909856732805
577580;751323;63909932994608
577580;975698;63909860131683
577580;1038983;63909898875442
577580;1042060;63909940322740
592922;190802;63909968982460
592922;725402;63909978757817
593566;847043;63909982412607
622937;677712;63909907832993
648245;182739;63909861048795
655730;724433;63909984578838
657907;122205;63909875395376
657907;877652;63909867764891
662310;148731;63909866232443
662310;274946;63909865929052
666562;80715;63909828465518
666562;294795;63909852767253
666562;438159;63909857944421
666562;472125;63909827240837
666562;626879;63909861350007
666562;845168;63909856428285
672743;15258;63909863201499
672743;110307;63909798042986
672743;170000;63909810532571
672743;190802;63909798042986
672743;200624;63909809918554
672743;236837;63909793469009
672743;340084;63909807789526
672743;394394;63909789816762
672743;589220;63909863201499
672743;724326;63909809015854
672743;835435;63909787060386
672743;877652;63909799259584
672743;965250;63909798652264
672743;1018164;63909863201499
672743;1022573;63909810532571
672743;1026152;63909825065400
672743;1046662;63909803821589
676163;357736;63909984578838
676163;830607;63909984578838
681679;256032;63909952525437
681679;748521;63909858554887
684619;298353;63909801088731
684619;890912;63909963484257
699462;491808;63909984578838
707611;533067;63909863509234
709543;640679;63909957705561
711490;548128;63909890637677
711490;626879;63909870207704
715000;1022573;63909921908752
719286;580112;63909888218759
720437;790226;63909932092276
720437;825852;63909932092276
728626;67929;63909864113031
728626;188040;63909864113031
728626;777753;63909960751785
735786;56977;63909891245424
735786;463574;63909891245424
735786;963506;63909920957549
743969;100203;63909795908569
743969;142729;63909795908569
743969;430436;63909795908569
743969;734703;63909795908569
743969;961517;63909795908569
747442;449035;63909867150006
747442;450240;63909880284945
747442;776555;63909891245424
747442;800735;63909862592662
747442;863971;63909881202752
747442;959700;63909881202752
748566;100203;63909891849979
748566;142729;63909858554887
748566;430436;63909891849979
748566;550585;63909859515342
748566;550981;63909873867104
748566;734703;63909891849979
748566;988179;63909823831319
757343;637196;63909821668671
757343;649905;63909861656932
757343;808726;63909855511653
757451;171591;63909864720849
757451;311665;63909853375989
757451;438603;63909856428285
757451;725402;63909863810957
757451;857850;63909864720849
763730;822226;63909818552001
763730;929860;63909931476681
775179;163938;63909944904289
776960;533067;63909960751785
776960;648618;63909957401113
778198;17210;63909892466431
795793;529495;63909961058942
800091;349194;63909786701914
800091;437063;63909984578838
800733;539889;63909892772269
802047;4547;63909835284936
802047;776555;63909834046463
805322;580112;63909964711971
805322;1023411;63909881813173
805643;497085;63909984578838
806393;269433;63909934220792
806393;343440;63909881202752
806393;985894;63909870509315
812671;115806;63909893385041
812671;150667;63909917237914
814664;115856;63909984578838
814664;146067;63909984578838
814664;305489;63909976310281
814664;622108;63909862273160
814664;932936;63909869285851
817446;857850;63909984578838
817887;177132;63909934526990
817887;338403;63909866232443
817887;801901;63909855818219
823811;269433;63909984578838
823811;343440;63909866540209
823811;985894;63909965924579
829696;924237;63909984578838
830913;532195;63909962574735
830913;535272;63909876924819
835435;725402;63909960751785
835435;857850;63909984578838
868773;454411;63909857034228
868773;552240;63909868683203
868773;924927;63909952525437
874018;79132;63909984578838
883280;902083;63909888523179
885705;100203;63909936347278
885705;430436;63909936347278
885705;734703;63909936347278
885705;833076;63909890336045
885705;835382;63909979061189
888464;79132;63909963484257
888464;567864;63909811139903
888464;711094;63909958930672
888836;52363;63909984578838
888836;120179;63909936347278
888836;998702;63909984578838
913811;100203;63909970202784
913811;430436;63909984578838
913811;734703;63909984578838
918415;514043;63909984578838
918415;559506;63909892772269
919473;412723;63909855818219
919540;143502;63909850932948
919540;327189;63909824146341
919540;351377;63909830326620
919540;835382;63909978757817
923538;521847;63909938489594
923538;724433;63909938489594
923538;778337;63909938489594
923855;161110;63909944599574
923855;924237;63909965316822
925699;115806;63909893685614
925699;120179;63909964405886
925699;150667;63909917237914
925699;202361;63909964096532
925699;212068;63909964405886
925699;329081;63909794386838
925699;432025;63909807789526
925699;583079;63909803518469
925699;860269;63909791038511
925699;881980;63909797433411
925699;903247;63909807789526
931551;333178;63909978147083
931551;780937;63909984578838
943437;79132;63909984578838
948391;241358;63909794080766
948391;450240;63909880284945
948391;549067;63909841151253
948391;776555;63909891245424
948391;863971;63909881202752
948391;959700;63909881202752
948391;1005580;63909799259584
958027;118910;63909984578838
958027;997221;63909984578838
971315;97184;63909812057863
971315;351570;63909984578838
971315;623047;63909800784981
971315;806405;63909817309099
971315;834734;63909883328867
972197;743970;63909853678675
972197;859247;63909859210135
972197;888838;63909822287223
974663;100203;63909870207704
974663;142729;63909858244452
974663;268791;63909965623883
974663;305489;63909898571622
974663;430436;63909870207704
974663;550585;63909859515342
974663;734703;63909870207704
974663;784608;63909892772269
974663;790226;63909945209278
974663;825852;63909956791586
974686;217417;63909965924579
974686;432527;63909965924579
974686;440804;63909965924579
974686;1028583;63909938793547
975704;338403;63909867764891
975704;387639;63909838391952
987559;979105;63909870509315
993968;159807;63909818552001
996823;14382;63909806253328
996823;115856;63909897957516
996823;146067;63909897957516
996823;169002;63909939409267
996823;839404;63909818863632
996823;921018;63909803518469
999423;351570;63909984578838
1008494;26327;63909871115568
1008494;441086;63909898265517
1008494;818131;63909963180921
1008494;836839;63909866849967
1009570;205378;63909871115568
1021520;369691;63909984578838
1021520;1017420;63909984578838
1035905;157669;63909984578838
1035905;318274;63909976310281
1039112;100203;63909970202784
1039112;430436;63909984578838
1039112;734703;63909984578838
1039536;550585;63909954664593
1039536;833076;63909906886699
1042045;857850;63909984578838
1043476;4099;63909968059079
1048294;430436;63909984578838
1048294;734703;63909984578838
1048294;882383;63909827240837

#tracked_citizens;183
#tracked_pairs;600
#total_recorded_contacts;32581
#recorded_building_contacts;30408
#recorded_non_building_contacts;2173
